translated_sentences,natural_sentences,labels
고품질의 제품! 지금까지 나는 불평할 것이 없습니다. 매우 빠르고 안정적이며 컴팩트합니다.,,1
훌륭한 기계. 시스템의 충전 속도는 매우 빠릅니다. 집에서 샀어요.,,1
훌륭한 제품. 작은 크기. 매우 빠르다. 내 일상 업무에 충분합니다.,,1
내가 여기서 물건을 산 것은 이번이 처음이다. 모든 것이 순조롭다. 지금까지 모든 것이 문제없다.,,1
조용하고 컴팩트하며 뛰어난 성능으로 비디오 시청 및 웹 탐색에 적합합니다.,,1
좋아! 7 일 배달! 품질에 매우 만족합니다.,,1
이미 오래된 9300 S 와 비교할 때 성능은 비슷합니다. 확실히 추천.,,1
좋아요. 매우 조용히 작동합니다.,,1
"명령은 하루 전에 도착했습니다. 컴퓨터 작업, 조용하고 민첩합니다. 아직 테스트하지 않았습니다.",,1
"우수한 철분, 편안한 몸, 조용한, 일반적으로 옳은 것.",,1
"5 일 배송, 추가 보호없이 포장, 두꺼운 패키지 만. 그러나 모든 것이 전체적이고 구겨지지 않습니다. ",,1
모든 것이 훌륭하고 배달 및 압축 자체입니다!,,1
제품은 훌륭합니다. 모든 것이 작동합니다. 나는 그것을 추천.,,1
모든 것이 매우 가치가 있습니다.,,1
나는 그것을 좋아한다. 나는 그것을 내려 놓았다.,,1
배달이 빠르며 컴퓨터가 훌륭합니다.,,1
설명 된 제품,,1
"아주 빨리, 배달도.",,1
매우 빠른 배달,,1
나는 그것을 좋아했다! 모든 것이 완벽하게 작동합니다!,,1
"새로운 빌드 게시, temps는 훌륭합니다. 전반적으로, 매우 만족. 이 판매자로부터 다시 구매할 것입니다.",,1
"15 일 주문, 이틀 일찍 도착한 28 일 (주에) 도착했다. 다소 우려되는 포장은 거의 없지만 모든 것이 작동 상태입니다. ",,1
"9800x3d 는 예상대로 작동하며, 좋은 판매자는 2.5 주 만에 우크라이나에 도착했습니다.",,1
LEGIT 7800 X3D 에 대한 최고의 가격 나는 더 행복 할 수 없었다. PC에서 테스트 및 확인,,1
좋아!,,1
"아주 좋은, 일본 약 일주일",,1
그것은 좋은 제품입니다.,,1
우수한 정품 감사 판매자,,1
"구매 후 6일 만에 도착했으며, 품목의 민감함을 고려하여 적절한 포장으로 제공되었습니다. 완전히 만족",,1
"빠른 배송, 완벽하게 작동합니다",,1
원래 상자 없이 블리스터로 배송된 완벽한 구성 요소,,1
"매우 전문적이고 진지한 판매자, 적극 추천합니다.",,1
완벽한,,1
배송이 매우 빠릅니다. 비디오 카드를 기다리고 있기 때문에 CPU를 시도해야합니다. 도착하자마자 업데이트하십시오.,,1
배송 시간은 중국에 약 9 일이었습니다. 판매자는 굉장합니다. 모든 것이 훌륭하게 도착했습니다.,,1
우리는 아직 시도하지 않았습니다. 방금 도착했습니다.,,1
지금까지 너무 좋아. 오래된 i5 6500 에 비해 엄청난 성능 향상을 느낍니다.,,1
이것은 모두 설명한 바와 같이 원래의 R7 5700 H3D 입니다. 착취의 흔적은 없습니다-이것은 새로운 돌입니다!,,1
나는 솔직히 내가 총알을 물었을 때 기쁘다. ,,1
그만한 가치가있었습니다. 다시 판매자로부터 살 것입니다.🫡. 큰 chinito 재미없는,,1
"모든 것이 정상이고, 새롭고, 사용되지 않으며, 붙여 넣기의 흔적이 없습니다. 좋아, 나는 추천",,1
주문 날짜로부터 13 일 이내에 도착했습니다. 완전히 합법적 인 문제가없고 잘 포장되어 있습니다!,,1
완벽한 상태와 0 문제에 도착했습니다. 더 나은 온도를 위해 crysheet 사용,,1
CPU는 예상보다 3 일 일찍 왔으며 합법적 인 5700x3D 임을 확인할 수 있습니다.,,1
페퍼크에서 찾을 수있는 최상의 순서로 모두. 행렬은 X 혼수 상태 또는 pl에있는 다른 상점이있는 원본과 다르지 않습니다... 보장이 없지만 여관이 어렵 기 때문에 BRAC ^ ^,,1
주문은 약 3 주 후에 도착했으며 업데이트가 정사이즈. 프로세서는 포장 된 플라스틱 조개 껍질에 도착했습니다. ,,1
"프로세서가 새롭고, 그것이 우수한 상태에 있기 때문에 사용되지 않았 음을 보여줍니다. 모든 핀이 맞습니다.",,1
대한 우수한 성능을 다른 판매자에 비해 가격의 일부로 제공합니다. 배송이 빠르며 지금까지 아무런 문제없이 설치가 쉬웠습니다.,,1
아주 좋은 판매자! 매력처럼 작동합니다.,,1
Lmao 실제로 합법적 인 $140 이며 거의 7800x3d 미친 거래만큼이나 좋습니다.,,1
,"빠르게 배송되었습니다. (주말 주문, 화요일 도착) 인식 및 작동 잘되네요",0
,아직 나머지 부품을 구매하지 못해 실제 사용을 못해 봤으나 주문 후 이틀만에 수령해서 배송도 빨라 만족합니다.,0
,빠른배송 명함과함께 안전포장되어 도착함,0
,빠른배송 감사합니다 슈퍼컴퓨터 가즈아아아아,0
,"문제 없고, 잘 작동하네요! 거기에 무상 교환 2년이니 좀 마음이 놓이네요!! 잘 사용 하겠슴다!",0
,굿,0
,잘됨.,0
,문제없이 매우 잘되는듯,0
,박스셋 잘 받았습니다. 작동은 아직 안해봄,0
,좀더 저렴한 7500f사려다가 아무래도 혹시몰라서 내장글카 있는걸로 구매했습니다. 이것도 충분히 저렴하다고 봐서 3만원 차이는 아깝지 않네요. 정품 박ㅁ스,0
,잘받았고 포장도 잘되서 왔습니다. 설치 후 문제가 없으며 다른 빌드가 있는 경우를 대비해 이 판매자로부터 반드시 구매할 것입니다.,0
,빠른 배송에 좋은 제품 저렴히 감사합니다,0
,송은 무천 빠르고 박스에 포장되어옵니다. 우리나라 컴터 부품값은 정말 미친거같아요. 알리가 너무 저렴해서 고만할 필요도 없네요.,0
,배송빠릅니다. 물건도 정확하고요. 거의 1주일 많에 받았네요,0
,알리익스프레스 좋아요 ㅎㅎㅎㅎ 알리익스프레스 좋아요 ㅎㅎㅎㅎ,0
,이렇게빨리오는거 처음이네요. 최고입니다,0
,알리에서 파는 다른 키캡보다는 가격이 있지만 포장이나 퀄리티는 제일 좋네요 이쁘고 좋아요,0
,이상없이 빠르게 잘왔어요 한글각인 좋아요 영어는 측면 각인이네요,0
,배송은 일주일걸린거 같네요 가격이 저렴해서 샀는데 함 써봐야겠네요,0
,"정품이 너무 비싸 사지못한 내 자신을 한탄하며, 짭으로 구매했습니다.",0
,배송 빠르고 상품 문제 없이 잘 도착했습니다. 작동 잘 되고 듀얼 모니터도 잘 되네요. 풀로드시 팬 소음은 있어요.,0
,너무잘되요 동봉도니 hdmi는 가끔 인식오류떠서 다른거 쓰니 잘되요,0
,괜찬은 재품입니다. 좋아요,0
,괜찬은 재품입니다. 좋아요,0
,오늘 작동 시켜봤는데 잘되네요 오래썻으면 합니다,0
,일단 배송과 가성비 평가는 만족 사용 후 사용기 남길게요,0
,배송이 느려 느긋하게 기다릴수만 있다면 이보다 더 좋은 선택은 없을거 같네요. 최고의 가성비 인정입니다.,0
,상품박스 훼손도없고 잘 돌아가는듯 하네요 따로 속도테스트는 아직 안해봐서 그건 모르겠네요,0
,지난번에도 구매해서 잘 됐어요! 잘 되는것 같아요 ^^ 지난번에도 구매해서 잘 됐어요!,0
,"좋은 제품 입니다,.......",0
,설치시 컴터에선 마이크론으로 잡히고 잘 돌아감. 믿고 쓰는 킹뱅크임.,0
,배송이 좀 걸렸지만 제품 깔끔하게 잘 배송되었습니다 이제 마이크론칩으로 오나보네요,0
,국제등기로 와서 17일 정도 걸렸네요. 제품은 정상적이고 방열판은 없습니다.,0
,컴퓨터에 무사히 조립~~~,0
,드디어 받았습니다. 조립은 아직 나머지 부품 구한후 할 예정입니다.,0
,가성비 굿,0
,가성비 좋음,0
,사용해봐야 알겠지만 배드섹터만 없었으면 합니다 모두 건강하세요,0
,택배로 발송된 것이 아니고 우편으로 우편함에 들어있었습니다. 아직 사용 전입니다,0
,속도 아주 좋습니다. 윈도우 드라이버 미설치 상태로 테스트했어요. 하이닉스칩에 하이닉스 컨트롤러. 훌륭합니다.,0
